,d_f_pipeline,d_g_oil,i_g_airline,d_f_pipeline_imputed,d_g_oil_imputed,i_g_airline_imputed,d_f_pipeline_roll5d,d_g_oil_roll5d,i_g_airline_roll5d,d_f_pipeline_imputed_lagg,d_g_oil_imputed_lagg,i_g_airline_imputed_lagg,d_f_pipeline_roll5d_lagg,d_g_oil_roll5d_lagg,i_g_airline_roll5d_lagg
2020-07-24,-0.3000000044703484,-0.22142857579248293,-0.24375000363215804,-0.3000000044703484,-0.22142857579248293,-0.24375000363215804,-0.16000000114242235,-0.20703443626366203,-0.32501608376843205,-0.4000000034769376,-0.16500000432133674,-0.3210526344023253,-0.10000000024835268,-0.19941538769732628,-0.3095994173687445
2020-07-25,-0.45000001788139343,-0.3727272721854123,-0.2000000017384688,-0.45000001788139343,-0.3727272721854123,-0.2000000017384688,-0.27000000352660813,-0.22477989021198636,-0.29451608369889326,-0.3000000044703484,-0.22142857579248293,-0.24375000363215804,-0.16000000114242235,-0.20703443626366203,-0.32501608376843205
2020-07-26,-0.4000000059604645,-0.26666667126119137,-0.4470588258084129,-0.4000000059604645,-0.26666667126119137,-0.4470588258084129,-0.37000000501672425,-0.25349783913816926,-0.29837229260963277,-0.45000001788139343,-0.3727272721854123,-0.2000000017384688,-0.27000000352660813,-0.22477989021198636,-0.29451608369889326
2020-07-27,,-0.2923076960902948,-0.2916666716337204,0.0,-0.2923076960902948,-0.2916666716337204,-0.31000000635782876,-0.2636260439301431,-0.3007056274430163,-0.4000000059604645,-0.26666667126119137,-0.4470588258084129,-0.37000000501672425,-0.25349783913816926,-0.29837229260963277
2020-07-28,-0.1200000062584877,-0.1823529434554717,-0.11538461825022332,-0.1200000062584877,-0.1823529434554717,-0.11538461825022332,-0.25400000691413877,-0.2670966317569701,-0.25957202421259595,0.0,-0.2923076960902948,-0.2916666716337204,-0.31000000635782876,-0.2636260439301431,-0.3007056274430163
2020-07-29,0.10000000149011612,-0.11481481597379402,-0.1333333378036817,0.10000000149011612,-0.11481481597379402,-0.1333333378036817,-0.17400000572204588,-0.24577387979323234,-0.23748869104690068,-0.1200000062584877,-0.1823529434554717,-0.11538461825022332,-0.25400000691413877,-0.2670966317569701,-0.25957202421259595
2020-07-30,,-0.2222222255335914,-0.3117647096514702,0.0,-0.2222222255335914,-0.3117647096514702,-0.0840000021457672,-0.21567287046286818,-0.25984163262950094,0.10000000149011612,-0.11481481597379402,-0.1333333378036817,-0.17400000572204588,-0.24577387979323234,-0.23748869104690068
2020-07-31,-0.4000000059604645,-0.3000000009641928,-0.4444444469279713,-0.4000000059604645,-0.3000000009641928,-0.4444444469279713,-0.0840000021457672,-0.22233953640346846,-0.25931875685341266,0.0,-0.2222222255335914,-0.3117647096514702,-0.0840000021457672,-0.21567287046286818,-0.25984163262950094
2020-08-01,-0.3500000033527613,0.02222222752041287,0.0,-0.3500000033527613,0.02222222752041287,0.0,-0.15400000281631945,-0.15943355168132692,-0.20098542252666857,-0.4000000059604645,-0.3000000009641928,-0.4444444469279713,-0.0840000021457672,-0.22233953640346846,-0.25931875685341266
2020-08-02,,-0.07499999739229679,-0.42500001192092896,0.0,-0.07499999739229679,-0.42500001192092896,-0.1300000015646219,-0.13796296246869194,-0.26290850126080967,-0.3500000033527613,0.02222222752041287,0.0,-0.15400000281631945,-0.15943355168132692,-0.20098542252666857
2020-08-03,-0.4000000059604645,-0.44000000655651095,-0.27999999895691874,-0.4000000059604645,-0.44000000655651095,-0.27999999895691874,-0.23000000305473806,-0.20300000058523532,-0.29224183349145705,0.0,-0.07499999739229679,-0.42500001192092896,-0.1300000015646219,-0.13796296246869194,-0.26290850126080967
2020-08-04,-0.5,-0.24285714381507464,-0.2777777761220932,-0.5,-0.24285714381507464,-0.2777777761220932,-0.33000000305473803,-0.20712698424153198,-0.2854444467855817,-0.4000000059604645,-0.44000000655651095,-0.27999999895691874,-0.23000000305473806,-0.20300000058523532,-0.29224183349145705
2020-08-05,,-0.16875000204890964,-0.17777778125471538,0.0,-0.16875000204890964,-0.17777778125471538,-0.25000000186264515,-0.18087698445847536,-0.23211111365093048,-0.5,-0.24285714381507464,-0.2777777761220932,-0.33000000305473803,-0.20712698424153198,-0.2854444467855817
2020-08-06,-0.10000000149011612,-0.28095238301016034,-0.3777777846488688,-0.10000000149011612,-0.28095238301016034,-0.3777777846488688,-0.20000000149011612,-0.24151190656459,-0.30766667058070424,0.0,-0.16875000204890964,-0.17777778125471538,-0.25000000186264515,-0.18087698445847536,-0.23211111365093048
2020-08-07,,-0.2315789531720312,-0.3625000091269612,0.0,-0.2315789531720312,-0.3625000091269612,-0.20000000149011612,-0.2728276977205369,-0.2951666700219107,-0.10000000149011612,-0.28095238301016034,-0.3777777846488688,-0.20000000149011612,-0.24151190656459,-0.30766667058070424
