Date,Value,Daily News Sentiment_INT,Daily News Sentiment_NA
2019-01-17,72.13,0.0,0.0
2019-01-18,72.99,0.0,0.0
2019-01-22,71.89,0.0,-0.5
2019-01-23,71.3,0.0,0.0
2019-01-24,71.4,0.0,0.0
2019-01-25,71.72,0.0,0.0
2019-01-28,71.24,0.0,0.0
2019-01-29,71.51,0.0,0.0
2019-01-30,72.29,0.0,-0.1
2019-01-31,73.28,0.0,0.0
2019-02-01,75.92,0.05,0.13
2019-02-04,74.82,0.0,0.0
2019-02-05,75.59,-0.2,0.1
2019-02-06,75.26,0.0,0.0
2019-02-07,74.68,0.0,0.0
2019-02-08,73.98,0.0,0.0
2019-02-11,74.1,0.0,0.0
2019-02-12,75.4,0.0,0.0
2019-02-13,76.25,0.0,0.0
2019-02-14,76.27,0.0,0.0
2019-02-15,77.71,0.0,0.0
2019-02-19,78.23,0.0,0.0
2019-02-20,78.53,0.0,0.0
2019-02-21,77.82,0.0,0.0
2019-02-22,78.42,0.0,0.2
2019-02-25,78.5,0.0,0.0
2019-02-26,78.66,0.0,0.0
2019-02-27,79.47,0.0,0.0
2019-02-28,79.03,0.2,0.0
2019-03-01,80.0,0.0,0.0
2019-03-04,80.31,0.0,0.0
2019-03-05,80.19,0.0,0.2
2019-03-06,79.28,-0.33,-0.1
2019-03-07,80.16,0.0,0.0
2019-03-08,79.01,0.0,0.1
2019-03-11,79.78,0.0,0.0
2019-03-12,80.0,0.0,0.3
2019-03-13,80.71,0.0,0.0
2019-03-14,80.44,0.0,0.0
2019-03-15,80.15,-0.3,0.0
2019-03-18,81.08,0.0,0.0
2019-03-19,80.87,0.0,0.0
2019-03-20,81.32,0.1,0.0
2019-03-21,81.79,-0.1,0.0
2019-03-22,80.48,0.0,-0.2
2019-03-25,79.92,0.0,0.0
2019-03-26,80.96,0.0,0.0
2019-03-27,80.34,0.0,0.0
2019-03-28,80.74,0.0,-0.1
2019-03-29,80.8,0.0,0.0
2019-04-01,81.73,0.4,0.0
2019-04-02,81.38,0.0,0.2
2019-04-03,80.9,0.1,-0.3
2019-04-04,82.05,0.0,0.0
2019-04-05,82.49,0.0,0.0
2019-04-08,83.0,0.0,0.0
2019-04-09,81.93,0.0,-0.4
2019-04-10,81.56,0.0,0.0
2019-04-11,81.95,0.0,0.0
