Date,Value_ger_walk,Value_ger_drive,Value_ger_trans,Value_ind_walk,Value_ind_drive,Value_rus_walk,Value_rus_drive,Value_us_walk,Value_us_drive,Value_us_trans,Value_jap_walk,Value_jap_drive,Value_jap_trans
2020-08-29,170.07382352941178,144.63470588235296,162.40944444444443,69.83,81.88166666666666,192.9875,160.9875,204.82137254901957,170.1858490566038,77.34976744186046,134.40787234042557,161.8144680851064,164.13659574468087
2020-08-30,116.97176470588235,141.6026470588235,160.8877777777778,71.18333333333332,79.94666666666666,198.47500000000002,160.14499999999998,148.53666666666663,139.3530188679245,68.05418604651163,106.08382978723405,118.92851063829792,127.28510638297871
2020-08-31,141.27852941176474,136.48911764705883,171.95500000000004,74.30499999999999,78.71499999999999,256.995,189.44500000000002,162.1970588235294,142.9979245283019,74.35232558139533,105.35170212765956,111.78042553191491,121.70446808510636
2020-09-01,146.9708823529412,137.91823529411766,172.01833333333332,72.34166666666667,75.035,235.0125,170.48250000000002,168.3111764705882,146.52754716981136,75.12023255813956,107.0421276595745,113.1536170212766,123.58468085106382
2020-09-02,146.9688235294118,139.7467647058823,168.0261111111111,70.26,76.52499999999999,210.385,157.64,166.72843137254904,148.2066037735849,75.16232558139532,106.68531914893614,113.31212765957451,124.26255319148936
2020-09-03,143.03735294117644,141.93441176470589,170.37833333333327,74.13833333333334,79.62166666666667,196.5875,153.5975,176.91490196078433,161.2409433962264,79.25813953488371,111.04106382978726,118.15659574468083,129.8225531914894
2020-09-04,163.52029411764707,157.89500000000004,179.4055555555556,74.52666666666666,84.33,194.19,162.9925,216.90627450980395,196.71188679245282,90.66720930232555,132.18914893617023,145.5531914893617,154.1774468085106
2020-09-05,180.28441176470588,149.51794117647057,178.4127777777778,81.83166666666666,91.56166666666667,177.225,141.29749999999999,223.00254901960793,184.61207547169812,84.61674418604652,121.1136170212766,135.95851063829787,142.8534042553191
2020-09-06,130.73676470588236,145.66176470588238,169.7783333333333,73.63166666666667,85.71999999999998,173.365,144.545,171.6049019607844,151.87849056603775,72.11906976744184,95.22148936170213,107.35617021276597,117.35148936170215
2020-09-07,145.22176470588235,138.0264705882353,176.92055555555555,74.90833333333333,81.70333333333333,185.68,147.32,146.30098039215684,147.60528301886785,74.36837209302325,113.59021276595745,121.77319148936168,131.95829787234047
2020-09-08,147.01647058823525,137.80176470588233,174.73333333333332,74.00999999999999,80.09833333333333,167.695,145.7725,156.58392156862737,144.90075471698114,75.32069767441861,117.7127659574468,123.35468085106385,134.2974468085106
2020-09-09,146.51411764705878,140.02735294117645,172.0022222222222,73.825,79.18833333333332,168.80499999999998,142.08999999999997,156.0337254901961,145.8096226415094,72.82790697674417,116.66340425531915,123.76510638297876,134.93510638297872
2020-09-10,129.12294117647056,121.64735294117648,140.17277777777778,74.11666666666667,79.10333333333334,163.3575,145.01,162.8241176470588,151.69301886792448,73.73720930232558,116.77212765957448,125.95510638297873,137.10170212765962
2020-09-11,163.65088235294124,159.5447058823529,181.89722222222224,76.15333333333335,83.27166666666666,183.45999999999998,157.14249999999998,197.53490196078437,177.8720754716981,81.71767441860467,136.6574468085106,153.35425531914893,163.69574468085105
2020-09-12,191.4267647058823,153.78970588235296,188.73444444444442,81.94333333333333,95.87,181.8025,141.2475,210.6225490196079,178.15396226415095,80.48883720930233,147.0406382978723,159.72702127659576,169.08127659574467
2020-09-13,144.12500000000003,153.31647058823535,177.28222222222223,76.06666666666666,88.71499999999999,159.85,135.225,139.85117647058826,135.31716981132078,65.11720930232559,119.83617021276596,129.73340425531916,139.8663829787234
2020-09-14,147.2438235294118,140.86058823529413,183.95666666666668,73.69333333333334,79.67,171.67000000000002,139.9375,154.33705882352945,141.92509433962263,72.89906976744187,122.83170212765955,128.57744680851062,138.62127659574466
2020-09-15,150.63411764705884,144.24911764705882,182.0688888888889,76.93666666666667,77.97499999999998,168.49,144.975,156.25137254901958,143.51188679245288,72.06837209302324,123.15936170212767,129.0323404255319,140.00574468085105
2020-09-16,151.54823529411766,144.21000000000004,199.27444444444444,85.815,80.78833333333334,167.5825,144.385,159.61,145.4464150943396,77.05837209302325,122.05340425531914,129.33319148936172,140.37361702127657
2020-09-17,158.62411764705888,148.1079411764706,226.96888888888884,105.44666666666666,87.83166666666666,164.7025,152.3425,166.54294117647063,152.30830188679252,83.74767441860466,126.76106382978725,135.77425531914892,147.5882978723404
2020-09-18,174.65705882352938,164.0079411764706,222.64833333333334,101.09499999999998,93.64333333333336,176.47,158.995,201.85450980392162,179.3750943396226,90.18767441860463,174.726170212766,196.17702127659575,200.03978723404256
2020-09-19,199.34176470588233,153.2355882352941,224.09777777777782,94.76166666666667,96.495,172.8375,144.7975,214.7070588235294,179.05584905660376,89.61906976744186,223.1568085106384,252.84936170212765,245.1176595744681
2020-09-20,150.06647058823526,154.30264705882354,214.33888888888887,91.66666666666667,90.57666666666667,166.635,140.28,140.80921568627448,135.74150943396228,74.02767441860466,225.71851063829783,270.22297872340425,252.02446808510638
2020-09-21,149.5876470588235,134.97294117647056,208.02222222222224,92.17,84.60333333333334,167.0225,137.52,149.0703921568627,135.77433962264152,79.43465116279071,184.20021276595747,212.5236170212766,204.84765957446817
2020-09-22,150.2561764705882,134.575,202.35722222222225,89.38666666666666,84.23333333333333,166.06,139.5825,151.06117647058818,136.82943396226415,78.04767441860463,126.64808510638298,133.88361702127662,141.59659574468083
2020-09-23,143.98176470588234,133.1294117647059,194.61166666666674,85.27333333333335,82.54166666666667,169.23,141.8975,153.2221568627451,139.24547169811325,77.82953488372095,121.24446808510638,122.61085106382978,132.3117021276596
2020-09-24,137.91882352941178,128.9070588235294,184.16666666666663,86.03666666666668,81.05499999999999,170.6175,140.65999999999997,159.43705882352944,145.77433962264155,78.31488372093023,117.28617021276591,125.53085106382983,135.74234042553192
2020-09-25,150.1247058823529,144.58323529411766,196.83944444444444,86.075,86.04833333333333,183.40499999999997,152.21750000000003,197.6882352941176,173.60056603773577,88.7486046511628,152.73000000000002,157.06808510638297,164.5127659574468
2020-09-26,151.11088235294113,128.94852941176467,190.16500000000002,98.25,96.65833333333335,180.195,141.9375,212.3378431372549,173.34735849056608,87.11116279069769,160.5459574468085,165.74765957446803,170.50085106382983
2020-09-27,117.09999999999997,123.97999999999999,182.6038888888889,91.01333333333334,91.25333333333333,164.3875,136.9375,136.79372549019604,132.0479245283019,70.7646511627907,129.3314893617021,131.79,138.61978723404255
2020-09-28,159.1894117647059,133.7032352941176,208.63722222222225,88.17,83.59166666666668,150.305,127.945,142.1637254901961,131.53169811320754,75.35418604651163,127.37553191489357,125.36723404255319,134.03382978723405
2020-09-29,150.94941176470587,133.19970588235293,178.73666666666665,88.40000000000002,82.845,154.6375,138.71249999999998,142.23098039215688,130.79528301886793,72.84023255813953,124.27468085106382,121.62553191489359,131.14723404255318
2020-09-30,144.37470588235294,129.97323529411761,190.73388888888886,88.73833333333334,86.25999999999999,150.17249999999999,137.25,145.34529411764706,133.6332075471698,73.50604651162789,121.97893617021279,117.34510638297874,127.20148936170206
2020-10-01,143.52382352941174,132.21588235294112,194.93277777777777,88.105,89.59666666666668,150.69,134.415,154.48901960784315,142.9311320754717,76.29604651162792,127.25638297872342,124.1017021276596,134.6804255319149
2020-10-02,162.35470588235296,144.4691176470588,197.34222222222223,94.09666666666668,92.41833333333334,168.59000000000003,143.98,188.16686274509803,166.86830188679247,83.25651162790697,169.26872340425533,167.2768085106383,174.10361702127656
2020-10-03,155.99176470588236,125.36088235294116,190.43555555555557,101.96166666666666,101.46666666666665,173.51,134.555,201.7011764705881,168.98245283018872,82.35813953488373,170.10787234042556,172.30978723404252,176.5617021276596
